mfcc1,mfcc2,mfcc3,rms,zcr,chroma,tempo,duration,pause_ratio,wpm,file,emotion
-506.2583,23.635527,-14.080003,0.016828377,0.2822834171660959,0.35009906,170.45454545454547,4.671375,25.688038043984346,64.22091996467849,03-02-03-02-02-02-16.wav,happy
-491.6186,10.526848,-33.904015,0.018233828,0.3042487545289855,0.39814132,144.23076923076923,4.4044375,27.244878672311653,68.11312454768628,03-02-03-02-02-02-02.wav,happy
-476.13284,22.73741,-28.121538,0.02299021,0.2766523152372263,0.45786288,125.0,4.3710625,27.45290254391178,82.35983814004032,03-02-04-02-02-02-12.wav,sad
-539.82184,11.671337,-40.898186,0.010759265,0.2943106452338129,0.34702247,110.29411764705884,4.4378125,27.03998368587651,67.60087317794522,03-02-04-02-02-02-06.wav,sad
-636.3962,33.770527,-23.580317,0.0047515887,0.2498671133306962,0.33376315,156.25,5.038375,11.908459670512768,71.4516089016796,03-02-04-01-01-02-06.wav,sad
-549.5436,26.877304,-25.697447,0.011387279,0.2753555198120915,0.36557043,133.92857142857142,4.8715625,24.632450482359832,73.89826159471423,03-02-04-01-01-02-12.wav,sad
-500.04266,13.682085,-37.278694,0.017595585,0.3605562312874251,0.3979519,133.92857142857142,5.3386875,22.47718214806001,67.4323042882731,03-02-03-01-01-02-02.wav,happy
-572.45294,31.713741,-13.383741,0.009731213,0.2552028346706081,0.3406157,98.6842105263158,4.7046875,25.506150967719307,76.5194287612089,03-02-03-01-01-02-16.wav,happy
-403.846,4.915003,-39.28071,0.034522116,0.2468313663563829,0.39181417,156.25,4.5045,26.63967179924343,79.92007992007991,03-02-05-02-01-01-06.wav,angry
-403.29352,30.039118,-35.475307,0.037309095,0.2010779747596154,0.3820651,125.0,4.1375,29.002600566517465,87.00906344410876,03-02-06-02-01-02-12.wav,fearful
-402.18588,29.86665,-26.543247,0.04147278,0.2018386314655172,0.41842434,104.16666666666669,4.638,25.87288650858333,77.6196636481242,03-02-05-02-01-01-12.wav,angry
-402.23016,15.502703,-42.242855,0.028533805,0.2196303858901515,0.37490436,110.29411764705884,4.20425,28.54213890031896,85.6276386989356,03-02-06-02-01-02-06.wav,fearful
-581.8453,29.549992,-19.276493,0.008087014,0.2202341543079096,0.3249944,98.6842105263158,5.639,31.920213652630046,63.8411065791807,03-02-02-02-01-01-02.wav,calm
-547.98505,36.350204,-19.28796,0.012786595,0.2387848860062893,0.30285978,144.23076923076923,5.07175,23.66019231792989,70.9814166707744,03-02-02-02-01-01-16.wav,calm
-567.1938,29.736614,-12.9711485,0.011011474,0.286086748231132,0.35270154,133.92857142857142,5.07175,23.66019231792989,70.9814166707744,03-02-02-01-02-01-16.wav,calm
-520.8565,22.328869,-30.475313,0.014587645,0.3121631477452531,0.38278964,133.92857142857142,5.038375,23.81691934102553,71.4516089016796,03-02-01-01-02-02-02.wav,neutral
-559.0114,26.168207,-19.650087,0.011454245,0.3144110317887931,0.35442135,144.23076923076923,5.538875,21.664814625916357,64.99514793166483,03-02-02-01-02-01-02.wav,calm
-603.4364,26.236172,-5.353892,0.006591426,0.31385899256993,0.32755387,156.25,4.57125,39.37602131555287,65.62756357670222,03-02-01-01-02-02-16.wav,neutral
-516.0493,21.885744,-21.430668,0.015696744,0.2723749724911972,0.38760585,187.5,4.537875,26.443745888823884,79.3322865878853,03-02-05-01-02-01-12.wav,angry
-587.7988,27.492348,-25.476137,0.0060376707,0.241190159574468,0.35427406,110.29411764705884,4.5045,26.63967179924343,79.92007992007991,03-02-06-01-02-02-06.wav,fearful
-547.0204,19.104729,-37.318306,0.009968367,0.2997905344202898,0.36234018,117.1875,4.4044375,27.244878672311653,81.73574945722353,03-02-05-01-02-01-06.wav,angry
-485.37448,26.170206,-25.630125,0.01699182,0.2008138020833333,0.46567118,133.92857142857142,4.3043125,27.87862806948051,83.63705005154713,03-02-06-01-02-02-12.wav,fearful
-623.2875,48.582314,-1.8074417,0.0048588705,0.2816277942518248,0.4407438,133.92857142857142,4.3710625,27.45290254391178,68.6331984500336,03-02-06-01-02-02-13.wav,fearful
-506.15506,39.96194,-13.779601,0.01294454,0.2653825666520979,0.39119658,104.16666666666669,4.57125,26.250680877035247,78.75307629204266,03-02-05-01-02-01-07.wav,angry
-632.1531,60.872078,8.899118,0.003972188,0.1510927287581699,0.36847612,98.6842105263158,4.8715625,12.316225241179916,73.89826159471423,03-02-06-01-02-02-07.wav,fearful
-525.6694,36.425476,-13.031912,0.0108277565,0.2847800925925925,0.43933037,170.45454545454547,4.3043125,27.87862806948051,83.63705005154713,03-02-05-01-02-01-13.wav,angry
-457.15155,45.65918,-11.556577,0.016461113,0.1590658775845864,0.42740476,110.29411764705884,4.2375625,28.317765445128725,84.95449919617704,03-02-02-01-02-01-03.wav,calm
-501.86032,38.307735,-11.04387,0.013248294,0.2559116908482143,0.37955132,170.45454545454547,4.4711875,26.838147519232606,80.51552300143977,03-02-01-01-02-02-03.wav,neutral
